timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,URL,Latency
1390368885238,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885247,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885251,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885260,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885264,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885273,11,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,11
1390368885277,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885285,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885289,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885297,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885301,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885309,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885313,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885322,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885326,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885335,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885339,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885348,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885352,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885361,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885365,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885374,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885378,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885387,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885391,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885400,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885404,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
